Duration (in seconds),RecordedDate,consent,gender,gender_other,yob,Q510_1,Q511_1,Q512_1,Q513_1
800,2019-04-07T22:18:25Z,"Yes, I have read and understood the rules.",Female,NA,2000,NA,NA,5,NA
807,2019-04-07T22:18:28Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,8,NA,NA
873,2019-04-07T22:19:18Z,"Yes, I have read and understood the rules.",Female,NA,1997,NA,NA,6,NA
1104,2019-04-07T22:21:04Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,NA,NA,1
1543,2019-04-07T22:22:32Z,"Yes, I have read and understood the rules.",Female,NA,1983,NA,NA,NA,3
1284,2019-04-07T22:22:36Z,"Yes, I have read and understood the rules.",Female,NA,1973,NA,3,NA,NA
2014,2019-04-07T22:23:12Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,8,NA,NA
777,2019-04-07T22:23:22Z,"Yes, I have read and understood the rules.",Male,NA,1995,8,NA,NA,NA
882,2019-04-07T22:23:34Z,"Yes, I have read and understood the rules.",Male,NA,1991,NA,1,NA,NA
861,2019-04-07T22:23:38Z,"Yes, I have read and understood the rules.",Male,NA,1963,10,NA,NA,NA
1211,2019-04-07T22:24:26Z,"Yes, I have read and understood the rules.",Male,NA,1998,9,NA,NA,NA
645,2019-04-07T22:24:34Z,"Yes, I have read and understood the rules.",Female,NA,1989,NA,NA,10,NA
2342,2019-04-07T22:25:21Z,"Yes, I have read and understood the rules.",Female,NA,1995,NA,4,NA,NA
829,2019-04-07T22:25:33Z,"Yes, I have read and understood the rules.",Male,NA,1993,NA,3,NA,NA
560,2019-04-07T22:25:53Z,"Yes, I have read and understood the rules.",Male,NA,1999,NA,NA,10,NA
667,2019-04-07T22:26:53Z,"Yes, I have read and understood the rules.",Male,NA,1992,NA,NA,NA,3
829,2019-04-07T22:27:01Z,"Yes, I have read and understood the rules.",Female,NA,1974,9,NA,NA,NA
