"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","taxBracket","report.rate.lab.online.sync","sample","treat","risk.pref","total.integrity"
"33","AU1I24FYT6VKMGOUD0JR","30002","false","Module2","9",1800,1822.5,12,0,"false",0,1800,30,"true","[objectObject]","[objectObject]",NA,"9","1488027762272","./data//room_1488026546921/memory_Module2_6.3.9.csv","room_1488026546921",9,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"34","AU1I24FYT6VKMGOUD0JR","9761","false","Module2","2",1500,1530,10,0,"false",0,1500,30,"true","[objectObject]","[objectObject]",NA,"2","1488027184483","./data//room_1488026546921/memory_Module2_6.3.2.csv","room_1488026546921",2,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"35","AU1I24FYT6VKMGOUD0JR","3395","false","Module2","5",1200,1222.5,8,0,"false",0,1200,30,"true","[objectObject]","[objectObject]",NA,"5","1488027401799","./data//room_1488026546921/memory_Module2_6.3.5.csv","room_1488026546921",5,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"36","AU1I24FYT6VKMGOUD0JR","9966","false","Module2","6",1650,1680,11,0,"false",0,1650,30,"true","[objectObject]","[objectObject]",NA,"6","1488027505410","./data//room_1488026546921/memory_Module2_6.3.6.csv","room_1488026546921",6,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"37","AU1I24FYT6VKMGOUD0JR","5287","false","Module2","3",1650,1680,11,0,"false",0,1650,30,"true","[objectObject]","[objectObject]",NA,"3","1488027257774","./data//room_1488026546921/memory_Module2_6.3.3.csv","room_1488026546921",3,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"38","AU1I24FYT6VKMGOUD0JR","7805","false","Module2","7",2100,2126.25,14,0,"false",0,2100,30,"true","[objectObject]","[objectObject]",NA,"7","1488027593292","./data//room_1488026546921/memory_Module2_6.3.7.csv","room_1488026546921",7,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"39","AU1I24FYT6VKMGOUD0JR","2710","false","Module2","4",1650,1680,11,0,"false",0,1650,30,"true","[objectObject]","[objectObject]",NA,"4","1488027328588","./data//room_1488026546921/memory_Module2_6.3.4.csv","room_1488026546921",4,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"40","AU1I24FYT6VKMGOUD0JR","5726","false","Module2","8",1950,1980,13,0,"false",0,1950,30,"true","[objectObject]","[objectObject]",NA,"8","1488027665785","./data//room_1488026546921/memory_Module2_6.3.8.csv","room_1488026546921",8,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"41","AU1SK8IMNP934ZGA7R2T","9153","false","Module2","8",900,1115.25,6,10,"false",3,897,30,"true","[objectObject]","[objectObject]",NA,"8","1488029222232","./data//room_1488028101450/memory_Module2_6.3.8.csv","room_1488028101450",8,TRUE,1,0.0111111111111111,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.0111111111111111,"Online Sync",2,2,20
"42","AU1SK8IMNP934ZGA7R2T","1857","false","Module2","10",1350,1549.5,9,10,"false",3,1347,30,"true","[objectObject]","[objectObject]",NA,"10","1488029384041","./data//room_1488028101450/memory_Module2_6.3.10.csv","room_1488028101450",10,TRUE,1,0.00740740740740741,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.00740740740740741,"Online Sync",2,2,20
"43","AU1SK8IMNP934ZGA7R2T","6334","false","Module2","1",1050,1220.25,7,10,"false",3,1047,30,"true","[objectObject]","[objectObject]",NA,"1","1488028610659","./data//room_1488028101450/memory_Module2_6.3.1.csv","room_1488028101450",1,TRUE,1,0.00952380952380952,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.00952380952380952,"Online Sync",2,2,20
"44","AU1SK8IMNP934ZGA7R2T","12309","false","Module2","2",1050,1233,7,20,"false",6,1044,30,"true","[objectObject]","[objectObject]",NA,"2","1488028710224","./data//room_1488028101450/memory_Module2_6.3.2.csv","room_1488028101450",2,TRUE,1,0.019047619047619,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.019047619047619,"Online Sync",2,2,20
"45","AU1SK8IMNP934ZGA7R2T","4721","false","Module2","5",1200,1407.375,8,10,"false",3,1197,30,"true","[objectObject]","[objectObject]",NA,"5","1488028962942","./data//room_1488028101450/memory_Module2_6.3.5.csv","room_1488028101450",5,TRUE,1,0.00833333333333333,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.00833333333333333,"Online Sync",2,2,20
"46","AU1SK8IMNP934ZGA7R2T","3470","false","Module2","9",1500,1704,10,10,"false",3,1497,30,"true","[objectObject]","[objectObject]",NA,"9","1488029302378","./data//room_1488028101450/memory_Module2_6.3.9.csv","room_1488028101450",9,TRUE,1,0.00666666666666667,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.00666666666666667,"Online Sync",2,2,20
"47","AU1SK8IMNP934ZGA7R2T","5863","false","Module2","4",900,1092.75,6,20,"false",6,894,30,"true","[objectObject]","[objectObject]",NA,"4","1488028877976","./data//room_1488028101450/memory_Module2_6.3.4.csv","room_1488028101450",4,TRUE,1,0.0222222222222222,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.0222222222222222,"Online Sync",2,2,20
"48","AU1SK8IMNP934ZGA7R2T","2536","false","Module2","7",1350,1577.25,9,10,"false",3,1347,30,"true","[objectObject]","[objectObject]",NA,"7","1488029135152","./data//room_1488028101450/memory_Module2_6.3.7.csv","room_1488028101450",7,TRUE,1,0.00740740740740741,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.00740740740740741,"Online Sync",2,2,20
"49","AU1SK8IMNP934ZGA7R2T","9177","false","Module2","6",1350,1576.5,9,10,"false",3,1347,30,"true","[objectObject]","[objectObject]",NA,"6","1488029051995","./data//room_1488028101450/memory_Module2_6.3.6.csv","room_1488028101450",6,TRUE,1,0.00740740740740741,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.00740740740740741,"Online Sync",2,2,20
"50","AU1SK8IMNP934ZGA7R2T","6949","false","Module2","3",900,1111.5,6,30,"false",9,891,30,"true","[objectObject]","[objectObject]",NA,"3","1488028792704","./data//room_1488028101450/memory_Module2_6.3.3.csv","room_1488028101450",3,TRUE,1,0.0333333333333333,"23",NA,"2","A","500","A","AUJ69SM7A4NGOL5KZHPD",0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,2,1,1,2,3,0,"false",1,0.0333333333333333,"Online Sync",2,2,20
"51","AU1ZORBXWHSV9T54Y8LP","28968","false","Module2","8",3000,2801.25,20,3000,"false",300,2700,10,"true","[objectObject]","[objectObject]",NA,"8","1489617985755","./data//room_1489616858980/memory_Module2_6.3.8.csv","room_1489616858980",8,TRUE,0,1,"29","M","6","A","500","B","AUVFS52E9L1MHWNPUC38",0,0,0,0,0,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,0.1,"false",3,1,"Online Sync",1,5,18
"52","AU1ZORBXWHSV9T54Y8LP","4377","false","Module2","10",2700,2531.25,18,2700,"true",270,2430,10,"true","[objectObject]","[objectObject]",NA,"10","1489618127305","./data//room_1489616858980/memory_Module2_6.3.10.csv","room_1489616858980",10,TRUE,0,1,"29","M","6","A","500","B","AUVFS52E9L1MHWNPUC38",0,0,0,0,0,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,0.1,"true",3,1,"Online Sync",1,5,18
"53","AU1ZORBXWHSV9T54Y8LP","6826","false","Module2","7",2850,2671.125,19,2850,"false",285,2565,10,"true","[objectObject]","[objectObject]",NA,"7","1489617867541","./data//room_1489616858980/memory_Module2_6.3.7.csv","room_1489616858980",7,TRUE,0,1,"29","M","6","A","500","B","AUVFS52E9L1MHWNPUC38",0,0,0,0,0,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,0.1,"false",3,1,"Online Sync",1,5,18
"54","AU1ZORBXWHSV9T54Y8LP","2493","false","Module2","2",2550,2430.375,17,2550,"false",255,2295,10,"true","[objectObject]","[objectObject]",NA,"2","1489617451557","./data//room_1489616858980/memory_Module2_6.3.2.csv","room_1489616858980",2,TRUE,0,1,"29","M","6","A","500","B","AUVFS52E9L1MHWNPUC38",0,0,0,0,0,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,0.1,"false",3,1,"Online Sync",1,5,18
"55","AU1ZORBXWHSV9T54Y8LP","9870","false","Module2","4",3150,2985.375,21,3150,"false",315,2835,10,"true","[objectObject]","[objectObject]",NA,"4","1489617612044","./data//room_1489616858980/memory_Module2_6.3.4.csv","room_1489616858980",4,TRUE,0,1,"29","M","6","A","500","B","AUVFS52E9L1MHWNPUC38",0,0,0,0,0,1,1,1,1,1,2,1,3,2,3,2,1,1,1,2,0.1,"false",3,1,"Online Sync",1,5,18
