"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","diceNumber","numberEntered","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","treat","taxBracket","report.rate.mturk.ds","sample","risk.pref","total.integrity"
"317","AU4JSCQYFEDHWXGBIUP7session2room_1458939561084","6247","false","Module2","4",2400,2289.33333333333,16,2400,"false",240,2160,10,"true","AU4JSCQYFEDHWXGBIUP7","[objectObject]","[objectObject]",NA,"4","1458940682449","session2","room_1458939561084",4,FALSE,0,1,"32","F","5","B",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,1,1,1,0,"false",2,3,1,"Mturk-DS",1,12
"318","AU4JSCQYFEDHWXGBIUP7session2room_1458939561084","1529","false","Module2","10",2550,2389.66666666667,17,2550,"false",255,2295,10,"true","AU4JSCQYFEDHWXGBIUP7","[objectObject]","[objectObject]",NA,"10","1458941197791","session2","room_1458939561084",10,FALSE,0,1,"32","F","5","B",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,1,1,1,0,"false",2,3,1,"Mturk-DS",1,12
"319","AU4JSCQYFEDHWXGBIUP7session2room_1458939561084","4512","false","Module2","7",2250,2173.33333333333,15,2250,"false",225,2025,10,"true","AU4JSCQYFEDHWXGBIUP7","[objectObject]","[objectObject]",NA,"7","1458940936540","session2","room_1458939561084",7,FALSE,0,1,"32","F","5","B",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,1,1,1,0,"false",2,3,1,"Mturk-DS",1,12
"320","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","2303","false","Module2","9",1350,1511.25,9,1350,"false",405,945,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"9","1458861209657","session1","room_1458859821428",9,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
"321","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","3826","false","Module2","2",1500,1635,10,1500,"false",450,1050,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"2","1458860578190","session1","room_1458859821428",2,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
"322","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","6721","false","Module2","6",1650,1698.75,11,1650,"false",495,1155,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"6","1458860942064","session1","room_1458859821428",6,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
"323","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","2149","false","Module2","4",1650,1713.75,11,1650,"false",495,1155,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"4","1458860759849","session1","room_1458859821428",4,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
"324","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","6675","false","Module2","1",1200,1372.5,8,1200,"false",360,840,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"1","1458860490285","session1","room_1458859821428",1,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
"325","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","5615","false","Module2","3",1650,1736.25,11,1650,"false",495,1155,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"3","1458860678415","session1","room_1458859821428",3,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
"326","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","4138","false","Module2","8",2100,2130,14,2100,"false",630,1470,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"8","1458861124531","session1","room_1458859821428",8,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
"327","AU4KB8UXDHECP2GW1YFSsession1room_1458859821428","3863","false","Module2","5",1650,1815,11,1650,"false",495,1155,30,"true","AU4KB8UXDHECP2GW1YFS","[objectObject]","[objectObject]",NA,"5","1458860845845","session1","room_1458859821428",5,TRUE,0,1,"56","F","0","A","500","B","AUPR179G0VXI2CWLOSDF",NA,NA,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,1,1,2,2,0,"false",2,1,1,"Mturk-DS",4,19
